state,electoral_vote,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_others,landon_1932_did_not_vote,landon_1932_vote_not_indicated,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_others,roosevelt_1932_did_not_vote,roosevelt_1932_vote_not_indicated,lemke,lemke_1932_rep,lemke_1932_dem,lemke_1932_soc,lemke_1932_others,lemke_1932_did_not_vote,lemke_1932_vote_not_indicated,thomas,browder,colvin,aiken,others_minor,minor_total,grand_total,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr,landon_share_total,roosevelt_share_total,landon_share_two_party,roosevelt_share_two_party,actual_landon_share,actual_roosevelt_share,landon_error,roosevelt_error,absolute_landon_error
Iowa,11,31871,22823,6164,135,26,1272,1451,18614,3190,13611,258,14,829,712,2829,560,1831,86,11,88,253,177,47,107,13,5,349,53663,11,621756,54.41,11,487977,42.7,0,29687,2.6,0,1373,0.12,0,1940,0.17,0,133779,11.71,1142733,IA,0.59391014292902,0.3468684195814621,0.6312964246805982,0.3687035753194018,0.4397246905336689,0.5602753094663311,0.1915717341469293,-0.1915717341469293,0.1915717341469293
Kansas,9,35408,25315,6489,147,15,1466,1976,20254,4182,14121,257,11,846,837,902,226,482,52,1,43,98,156,38,107,4,3,308,56872,9,464520,53.67,9,397727,45.95,0,497,0.06,0,2770,0.32,0,-,-,0,66793,7.72,865014,KS,0.6225910817273879,0.3561330707553805,0.636125184147174,0.363874815852826,0.46126805892047174,0.5387319410795283,0.17485712522670227,-0.17485712522670227,0.17485712522670227
Kentucky,11,13365,8957,2939,35,14,793,627,16592,1586,13594,95,6,703,608,732,69,554,24,0,31,54,77,23,61,4,7,172,30861,11,541944,58.51,11,369702,39.92,0,12501,1.35,0,632,0.07,0,1424,0.15,0,172242,18.6,926203,KY,0.4330708661417323,0.5376364991413111,0.4461394665687485,0.5538605334312514,0.40553241060674866,0.5944675893932513,0.040607055961999816,-0.04060705596199987,0.040607055961999816
Louisiana,10,3686,1366,1742,9,3,384,182,7902,445,6401,39,0,697,320,841,35,667,23,2,55,59,85,28,37,0,6,156,12585,10,292894,88.82,10,36791,11.16,0,-,-,0,-,-,0,93,0,0,256103,77.66,329778,LA,0.2928883591577274,0.6278903456495828,0.3180876769071453,0.6819123230928547,0.11159440071583482,0.8884055992841652,0.20649327619131047,-0.20649327619131053,0.20649327619131047
Maine,5,11742,8619,1567,25,35,713,783,5337,635,3820,41,1,289,551,418,64,277,3,2,42,30,53,11,8,2,5,79,17576,5,126333,41.52,0,168823,55.49,5,7581,2.49,0,783,0.26,0,720,0.24,0,-42490,-13.97,304240,ME,0.6680700955848885,0.303652708238507,0.6875109783945196,0.3124890216054804,0.5719788857417772,0.42802111425822276,0.11553209265274234,-0.11553209265274234,0.11553209265274234
Maryland,8,17463,9754,4685,110,2,1479,1433,18341,1891,13540,328,5,1366,1211,614,56,422,22,1,34,79,132,80,30,11,5,258,36676,8,389612,62.35,8,231435,37.04,0,-,-,0,1629,0.26,0,2220,0.36,0,158177,25.31,624896,MD,0.4761424364707165,0.5000817973606718,0.4877388001340632,0.5122611998659368,0.3726529554123923,0.6273470445876077,0.11508584472167088,-0.11508584472167094,0.11508584472167088
Massachusetts,17,87449,70567,10105,330,31,3213,3203,25965,5141,17499,744,16,1635,930,5415,1002,3670,133,3,236,371,544,310,72,42,32,1000,119829,17,942716,51.22,17,768613,41.76,0,118639,6.45,0,5111,0.28,0,5278,0.29,0,174103,9.46,1840357,MA,0.7297816054544393,0.2166837743784893,0.7710600102280142,0.2289399897719858,0.44913222413691345,0.5508677758630866,0.32192778609110073,-0.32192778609110073,0.32192778609110073
Michigan,19,51478,38526,8665,287,22,2113,1865,25686,5114,17402,748,26,1472,924,3376,680,2145,128,4,130,289,527,151,118,20,4,820,81360,19,1016794,56.33,19,699733,38.76,0,75795,4.2,0,8208,0.45,0,4568,0.25,0,317061,17.56,1805098,MI,0.6327187807276303,0.3157079646017699,0.6671245658597273,0.3328754341402726,0.40764462196050516,0.5923553780394949,0.2594799438992222,-0.2594799438992223,0.2594799438992222
Minnesota,11,30762,22386,5958,109,3,972,1334,20733,3699,14855,511,22,861,785,5426,804,3893,115,14,157,443,375,163,185,29,12,764,57685,11,698811,61.84,11,350461,31.01,0,74296,6.58,0,2872,0.25,0,3535,0.31,0,348350,30.83,1129975,MN,0.5332755482361099,0.3594175262199878,0.5973783862510923,0.4026216137489076,0.33400395702925456,0.6659960429707454,0.26337442922183774,-0.26337442922183785,0.26337442922183774
Mississippi,9,848,269,394,1,0,137,47,6080,88,5396,8,1,298,289,43,5,32,1,0,2,3,18,6,16,0,1,41,7012,9,157318,97.06,9,4443,2.74,0,-,-,0,329,0.2,0,-,-,0,152875,94.31,162090,MS,0.1209355390758699,0.8670849971477467,0.1224018475750577,0.8775981524249422,0.02746644741315892,0.972533552586841,0.09493540016189879,-0.09493540016189883,0.09493540016189879
